author,rating,title,text,date,helpful,verified
Dior bronze poudre,5,eccellente,appena arrivato molto neutral quello che cervavo chiccky,2026-04-27T14:08:20.000+00:00,0,[]
Queenbeauty,3,Lip,Per il costo mi aspettavo qualcosa in più,2026-04-16T20:56:00.000+00:00,0,[]
Andreanaa,5,Bel regalo,"Bel regalo, è stato graditissimo",2026-04-10T20:16:11.000+00:00,0,[]
LivBegaj,5,La svolta,"iconico , labbre carnose idratate con quel pizzico di volume in piu che rimane per ore sulle mie labbra mi piace assai",2026-04-01T15:38:36.000+00:00,0,[]
Claom,5,Bello,Lascia un effetto glow duraturo per tutta la giornata,2026-03-26T15:39:15.000+00:00,0,[]
Pelle matura,5,Belíssimo,Bellissimo effetto glow adoro 🥰,2026-03-16T08:47:39.000+00:00,0,[]
Asjapilafx,5,Luce e volume,Per chi ama labbra lucenti e in evidenza. Dona un effetto rimpolpante ma discreto con il suo color nude.,2026-03-06T10:00:06.000+00:00,0,[]
Mariag74,5,Ottimo anche come primer,"Pochissimo prodotto basta per creare un film idratante che forma un film elastico che fa durare di più il rossetto che diventa aderente alle labbra. Da solo è fantastico anche la sera per labbra secche  o la mattina con un leggero contorno a matita. Profuma di menta e rimpolpa molto , fa spessore sulle labbra e le rende lucide e piene, le prime volte può dare un leggero pizzicore passeggero perché stimola il collagene. Anche quello rosa con i brillantini è bellissimo.",2026-03-04T23:18:38.000+00:00,0,[]
Layla.,4,Beh..effettivamente é valido,"Bella la confezione,  adatto per fare un regalo . Mi piace questo colore perché leggermente più scuro delle mie labbra ,dona un po di colore ma senza esagerare e l'ho scelto proprio per un utilizzo quotidiano.  Avrei preferito che durasse un po di più sulle labbra,  visto il prezzo non proprio contenuto. Per questo motivo ho dato 4 stelle.",2026-03-02T18:37:45.000+00:00,0,[]
giuseppa61,5,Regalo gradito,Ho comprato questo lucidalabbra per regalarli a mia figlia. Lo ha gradito moltissimo e provato subito. Gli è piaciuto talmente tanto che vuole comprare anche gli altri colori.,2026-03-01T20:35:04.000+00:00,0,[]
Fedebas,4,Ottimo,Prodotto rimpolpante non appiccicoso,2026-02-16T13:13:39.000+00:00,0,[]
Verjuska84,5,Dior sempre top,Per me ogni prodotto di Dior non ha recensioni negative! Sono prodotti di alta qualità e lunga tenuta. Questo gloss è impercettibile non appiccicoso e regala super luminosità alle labbra! Vale la pena!,2026-02-14T21:36:38.000+00:00,0,[]
Noems,5,Perfetto!,"Must have da portare sempre con sé,idrata e ha una buona duratura",2026-02-04T20:53:43.000+00:00,0,[]
Martidid2001,5,Il miglior gloss,"Il gloss migliore sul mercato a parer mio! Leggermente mentolato, idratante e super riflettente!",2026-01-21T22:06:22.000+00:00,0,[]
ChiaraL96,5,Volume volume e volume,Rimpolpante con effetto riempitivo un lip gloss che oltre a dare luminosità dà un effetto volumizzante all'istante!,2026-01-20T06:37:58.000+00:00,0,[]
CeciG,5,Mai più senza,"L'unico che dona davvero volume e non secca le labbra. In più, cosa fondamentale per me, non si appiccica sui denti. Una cosa che odio profondamente è vedere il rossetto sui denti. Con questo gloss ho risolto il mio problema.",2026-01-16T12:31:17.000+00:00,0,[]
MC,5,Best,Un prodotto valido da avere,2026-01-14T14:14:07.000+00:00,0,[]
Luna23,5,Lo amo,"Adoro in generale i prodotti Dior per le labbra, sono tutto un altro livello di qualità!! Una volta provati i prodotti di fascia alta è davvero difficile tornare indietro .. Consiglio il colore Rosewood, è stupendo, soprattutto se avete la pelle chiara",2026-01-13T18:02:29.000+00:00,0,[]
Agavpe,5,Nulla da dire,"È perfetto, sia di colore che di consistenza",2026-01-10T17:11:00.000+00:00,0,[]
Chiaaaa,5,Fantastico,Unico gloss che ho trovato nella mia vita a reggere per più ore. Una volta applicato l’effetto specchiato rimane nel tempo nonostante lo strato vero e proprio di prodotto se ne sia andato. Anche l’effetto volumizzante é molto buono. La qualità che più mi piace è appunto la durata.,2026-01-09T21:47:47.000+00:00,0,[]
,5,Dior,Valgono tutti i soldi prodotto veramente bello tutti mi chiedono cosa ho su,2026-01-03T00:44:23.000+00:00,0,[]
Assu0”30,5,Ottimo,Ottimo gloss glitterato,2025-12-25T00:55:12.000+00:00,0,[]
Hel,5,Insuperabile,"Lo amo, non appiccia e pizzica leggermente. Forse un po’ troppo chiaro, lo prenderei più scuro",2025-12-23T00:12:46.000+00:00,0,[]
chiara ha,5,stupendo,super pigmentato e molto carino ed idratante,2025-12-19T17:25:14.000+00:00,0,[]
valert,5,top,"rimpolpante, luminoso e idratante",2025-12-18T19:40:18.000+00:00,0,[]
Mary Zam,5,Il mioPreferito,Non c’è paragone é il migliore in assoluto,2025-12-14T17:59:30.000+00:00,0,[]
Mary Zam,5,Uno dei miei preferiti,Lo utilizzo da 3 anni è il mio preferito su questo sito costa meno,2025-12-14T17:55:23.000+00:00,0,[]
patawinx,5,Colore stupendo,Colore molto bello un marroncino perfetto per le lip combo invernali,2025-12-11T13:55:48.000+00:00,0,[]
Sting 80,5,Dior adict lip maximizer,Ottimo gloss labra idratate e rimpolpate bellissimi i colori.,2025-12-07T07:30:15.000+00:00,0,[]
Fliblunt,5,Adoro,Sará il 6 che compro ormai!,2025-12-06T14:26:00.000+00:00,0,[]
Bubble,4,Effetto rimpolpante,"Ottimo prodotto, peccato solo per il sapore che non è dei migliori",2025-12-05T11:28:53.000+00:00,0,[]
Ludovica_,5,Stupendo,"L ho regalato a mia cognata (perché la adoro, si) e lo ha adorato! Vabbè Dior è una garanzia",2025-11-25T21:00:06.000+00:00,0,[]
Nmp83,5,Effetto wow,"Da subito volume alle labbra , colore bellissimo dopo l’applicazione. Visto così non mi diceva nulla ma una volta applicato l’effetto mi piace molto",2025-11-11T23:51:49.000+00:00,0,[]
User25,5,Top,"Bellissimo gloss, acquistato in quasi tutte le colorazioni",2025-11-05T22:01:33.000+00:00,0,[]
Ile,5,Ottimo prodotto,Favoloso lo ricomprere altre 1000 volte consigliato non appiccica,2025-11-04T21:41:51.000+00:00,0,[]
Lis9,5,Dior,Dior è sempre una garanzia ! Ottimo,2025-10-08T16:52:56.000+00:00,0,[]
Bellissimadonna,5,Molto bello,"Molto bello, colore e qualità però mi aspettavo di meglio considerando il prezzo",2025-09-17T13:02:30.000+00:00,0,[]
Marty9,5,Lo amo!!,Appena finisce lo ricompro subito e dura una vita!! Il mio preferito!!,2025-09-10T08:07:55.000+00:00,0,[]
Vale_11!_,5,Bellissimo,"Packaging elegante, prodotto fine! Da ricomprare!",2025-09-08T07:07:40.000+00:00,0,[]
Sereba,5,Stupendo,Ottimo prodotto ! Lo uso tutti i giorni,2025-08-29T10:48:17.000+00:00,0,[]
isa140105,5,ottimo lip gloss,"Questo lip gloss di Dior è ottimo, colora molto bene le labbra, da un effetto luccicante, pizza leggermente un po’, ma sopportabile. Forse un po’ alto il prezzo, cmq lo consiglio",2025-08-24T16:37:50.000+00:00,0,[]
MartiF03,5,un must,"Questo è uno dei prodotti che non può mai mancare nella mia trousse trucchi o in borsetta. Ho molte colorazioni, tutte interessanti! Buonissimo anche l'odore",2025-08-21T10:33:57.000+00:00,0,[]
DanielaD,5,Mai più senza,"Il gloss migliore in commercio. Non appiccia, non fa le pellicine. Ha colori bellissimi e lascia le labbra idratate a lungo",2025-08-20T15:32:43.000+00:00,0,[]
Lisa11,5,Bellissimo,Prodotto molto valido.,2025-08-16T21:57:49.000+00:00,0,[]
Zazazalinda,5,FAVOLOSO,Efffetto filler duraturo nel tempo,2025-08-08T15:35:24.000+00:00,0,[]
Lilianaa,5,Gloss Dior,"Un gloss fantastico non si appiccica, rende le labbra morbide e voluminose, semplicemente stupendo.",2025-08-02T06:35:50.000+00:00,0,[]
Tita96,4,Buon lucidalabbra,Sicuramente un buon prodotto anche se noto poco l'effetto rimpolpante,2025-07-30T15:14:31.000+00:00,0,[]
Topina23,5,Dior addict,Lo uso da tanto unico rimpolpante davvero valido,2025-07-29T09:29:49.000+00:00,0,[]
anvarr,4,Bellissimo,Buona profumazione ed effetto mentolato sulle labbra. Non appiccica e la colorazione 013 beige è un nude perfetto,2025-07-29T08:32:52.000+00:00,0,[]
Berto02,5,Lipgloss,"Fa un effetto strepitoso, sopratutto con la luce del tramonto e sulla sera. 
Consiglio vivamente a tutte le ragazze",2025-07-28T09:32:19.000+00:00,0,[]
Cla23,3,Bello ma,Bello il colore e un po' fa effetto pump ma unge e questo non mi piace molto.,2025-07-15T18:37:44.000+00:00,0,[]
marih,5,Bello,L’ho preso per regalarlo ad una mia amica che ha apprezzato molto.,2025-07-05T10:25:07.000+00:00,0,[]
Mmm90,5,Da avere in tutti colori,"Comprato più e più volte, prodotto che adoro. Volumizza il giusto e non pizzica troppo sulle labbra.",2025-07-03T10:46:35.000+00:00,0,[]
Barbie88,5,dior sempre una garanzia,prodotto iconico da sempre!,2025-07-01T16:17:37.000+00:00,0,[]
Fair4,5,Stupendo,Ho preso la n. 4 Coral. E' bellissimo da solo come lucidalabbra e magnifico sopra un rossetto corallo. Lo ricomprerei!,2025-06-29T15:58:05.000+00:00,0,[]
Diana26,1,Non ci siamo,Non è come quello che ho comprato dal sito della Dior. Non rimpolpa e non é volumizzante affatto.,2025-06-27T12:49:38.000+00:00,0,[]
Azzurrap,5,Ottimo,"Consistenza non troppo densa, colorazione neutra. Lascia una sensazione freschissima sulle labbra",2025-06-20T15:30:46.000+00:00,0,[]
Majorette,5,stupendo,acquistato per un regalo ... piaciuto tantissimo ... con dior non si sbaglia mai,2025-06-19T14:23:17.000+00:00,0,[]
Giulianapa,4,Da avere sempre in borsa,"Questo prodotto è davvero meraviglioso e fin dalla prima applicazione, si nota la sua texture confortevole e non appiccicosa, con i suoi brillantini sui toni del lilla che rendono il trucco particolare.",2025-06-19T14:16:14.000+00:00,0,[]
Chi6282,5,F A N T A S T I C O,Bellissimo è uno dei migliori in commercio,2025-06-15T07:59:21.000+00:00,0,[]
Nikka,2,Ni,Tra i prodotti dior trovo che questo sia davvero inutile. Non fa quel che promette. Bocciato.,2025-06-13T16:09:50.000+00:00,0,[]
Mari0572,5,Fantastico,Ottimo prodotto! Regalo gradito,2025-06-11T15:54:48.000+00:00,0,[]
